6,10,15,9,0.81,0.84,7970,546.9137884
4,20,15,8,0.99,0.99,7962,382.8844853
1,5,20,9,1.03,0.8,7935,457.862147
5,10,15,8,0.9,0.91,7805,441.8049637
1,10,16,8,0.9,0.91,7758,440.0407793
1,13,14,8,0.99,0.99,7643,365.0141066
3,18,15,7,0.94,1.02,7532,369.6189991
0,16,12,8,1.03,0.8,7451,437.5059796
2,10,15,8,0.94,1.02,7449,367.521607
4,14,17,7,1.025,0.98,7427,353.0470019
5,16,10,8,0.92,0.78,7406,502.2264322
1,10,15,8,0.85,0.89,7365,467.8661567
9,8,19,7,0.75,0.81,7350,573.0625628
5,8,20,7,1.02,1.085,7303,311.5130948
2,15,11,8,1.095,0.95,7252,336.5198515
1,8,16,8,0.92,0.78,7245,497.7438992
2,15,16,7,0.75,0.81,7166,570.6518995
5,11,17,7,0.965,0.755,7119,491.3098324
3,9,14,8,0.92,0.78,7111,492.9826594
2,14,11,8,1.05,0.95,7044,350.1400905
5,14,15,7,0.71,0.73,7040,653.6560356
3,23,10,7,1.02,1.085,7028,310.4097254
1,16,10,8,1.03,0.8,6942,427.175196
1,15,10,7,0.965,0.755,6814,456.3195483
2,19,12,9,0.78,0.79,6809,609.9650956
2,20,11,8,0.98,0.97,6802,385.4864414
0,14,11,12,0.78,0.51,6787,866.6686997
1,9,14,7,1.08,0.77,6764,392.6670784
4,15,14,7,1.05,0.95,6761,350.7412652
0,15,10,7,0.85,0.89,6725,431.2017868
1,16,9,7,1.02,1.085,6690,290.9144338
0,18,8,7,1.08,0.77,6600,390.1543656
0,17,8,7,0.94,1.02,6474,333.7971164
0,13,15,6,0.95,0.92,6433,372.6051015
1,13,10,7,0.78,0.79,6416,518.0186703
0,14,10,8,0.94,1.02,6412,351.0264674
0,14,9,6,0.9,0.94,6400,382.1872219
1,10,12,7,0.71,0.73,6360,607.3247522
0,13,15,6,0.9,0.91,6337,396.4128844
1,20,27,18,0.72,0.67,6240,652.2749861
1,11,11,7,0.78,0.51,6232,793.6442863
1,14,9,7,1.03,0.8,6173,388.9844286
0,12,15,6,1,0.92,6160,351.0683897
2,15,12,6,1.095,0.95,6117,305.1070853
2,13,9,7,0.75,0.81,6062,512.7408303
1,27,15,19,1.03,0.8,6051,302.2495033
3,26,15,18,0.72,0.67,6048,627.5676591
2,19,20,18,0.85,0.89,6035,377.5183312
1,19,5,6,0.965,0.755,6024,405.7178153
20,25,9,18,0.85,0.88,6023,383.1960509
5,25,20,18,1.118,0.995,5993,266.9312386
4,16,21,18,0.85,0.88,5985,383.1285142
5,21,17,18,0.75,0.81,5971,471.8486235
5,21,17,18,0.81,0.84,5962,422.7409924
6,16,20,18,0.85,0.89,5944,377.7747322
5,25,20,17,0.85,0.88,5940,414.3407647
0,14,8,6,0.98,0.97,5927,306.0275001
3,18,19,17,0.85,0.89,5885,418.6461167
5,16,20,18,1.08,0.77,5882,334.9057481
1,14,12,6,0.72,0.67,5880,638.0220372
3,26,14,18,0.82,0.79,5880,450.7175876
1,10,15,6,0.96,0.96,5876,343.9081812
0,3,20,6,0.85,0.89,5873,416.5590012
3,17,20,18,1.095,0.95,5865,277.6765866
2,17,20,18,0.965,0.755,5863,397.2956711
3,21,17,18,0.98,0.97,5856,303.1145955
2,18,18,18,1.05,0.95,5800,287.9415559
1,23,22,17,1.03,0.8,5791,375.055002
5,30,10,19,0.95,0.92,5782,289.6637121
5,15,5,6,1,0.92,5778,312.7206753
5,18,17,18,0.85,0.89,5775,376.9576829
